序号,代码,名称,现价 ,涨跌幅(%) ,涨跌 ,涨速(%) ,换手(%) ,量比 ,振幅(%) ,成交额 ,流通股 ,流通市值 ,市盈率 
52,688629,华丰科技,104.73,3.43,3.47,-0.07,7.25,0.94,5.49,13.66亿,1.82亿,190.38亿,162.32
53,603888,新华网,24.75,3.34,0.80,0.16,5.34,0.94,4.51,8.91亿,6.75亿,167.00亿,61.56
54,600699,均胜电子,31.25,3.27,0.99,0.00,5.22,1.41,3.63,21.89亿,13.55亿,423.45亿,32.45
55,600410,华胜天成,21.04,3.24,0.66,0.00,17.29,0.76,5.25,39.65亿,10.96亿,230.70亿,48.28
56,300458,全志科技,46.83,3.22,1.46,-0.02,9.43,2.09,6.15,30.21亿,6.76亿,316.42亿,104.12
57,300027,华谊兄弟,2.29,3.15,0.07,0.00,4.26,1.33,4.05,2.40亿,24.85亿,56.91亿,--
58,300078,思创智联,5.25,3.14,0.16,0.19,7.60,0.85,4.71,4.39亿,11.13亿,58.45亿,--
59,300911,亿田智能,37.06,3.12,1.12,0.00,2.58,1.94,4.15,1.64亿,1.71亿,63.50亿,--
60,300426,华智数媒,8.64,3.10,0.26,-0.23,3.07,1.09,5.25,1.05亿,4.00亿,34.56亿,--
61,300248,新开普,13.99,3.10,0.42,0.00,6.03,1.27,4.35,3.41亿,4.09亿,57.24亿,--
62,300469,信息发展,66.21,3.04,1.95,0.03,3.89,1.41,6.35,6.42亿,2.48亿,164.35亿,--
63,300212,易华录,16.39,3.02,0.48,0.06,4.87,0.72,5.09,5.48亿,6.99亿,114.49亿,--
64,688663,新风光,57.57,2.99,1.67,0.17,5.26,0.88,4.15,4.28亿,1.41亿,81.39亿,73.52
65,603598,引力传媒,26.77,2.96,0.77,0.00,17.40,1.43,9.00,12.59亿,2.69亿,72.08亿,265.82
66,688159,有方科技,54.84,2.87,1.53,0.06,3.35,0.86,3.40,1.68亿,0.93亿,50.85亿,45.80
67,002639,雪人集团,23.44,2.85,0.65,0.00,33.07,1.53,5.00,50.94亿,6.51亿,152.50亿,346.80
68,000681,视觉中国,27.90,2.84,0.77,0.14,15.96,1.17,4.90,30.06亿,6.76亿,188.68亿,197.27
69,300292,吴通控股,4.72,2.83,0.13,0.00,4.47,1.03,3.70,2.34亿,11.16亿,52.67亿,51.75
70,920924,广脉科技,23.94,2.79,0.65,0.00,3.54,1.04,3.52,0.55亿,0.64亿,15.43亿,134.77
71,300781,因赛集团,42.78,2.79,1.16,0.31,14.45,1.33,5.36,7.44亿,1.21亿,51.84亿,192.38
72,002396,星网锐捷,28.98,2.77,0.78,-0.03,5.43,1.22,3.48,9.07亿,5.83亿,169.03亿,36.96
73,001330,博纳影业,9.32,2.76,0.25,0.00,10.69,1.16,5.40,13.64亿,13.75亿,128.10亿,--
74,300133,华策影视,9.11,2.71,0.24,0.00,6.96,1.21,4.51,10.20亿,16.12亿,146.87亿,73.67
75,000889,中嘉博创,3.83,2.68,0.10,0.00,3.20,1.26,3.48,1.05亿,8.70亿,33.32亿,--
76,000727,冠捷科技,2.73,2.63,0.07,0.37,3.17,1.72,3.01,3.89亿,45.30亿,123.66亿,--
77,920374,云里物里,27.06,2.62,0.69,0.00,3.43,1.13,2.65,0.31亿,0.34亿,9.23亿,196.93
78,300612,宣亚国际,19.53,2.57,0.49,0.00,13.48,1.12,5.15,4.72亿,1.80亿,35.13亿,--
79,002044,美年健康,7.73,2.52,0.19,0.13,10.32,0.79,5.84,30.89亿,38.74亿,299.48亿,437.58
80,600734,实达集团,4.89,2.52,0.12,0.00,6.51,0.67,3.77,6.86亿,21.78亿,106.50亿,--
81,300188,国投智能,15.20,2.50,0.37,0.00,2.88,1.15,4.79,3.73亿,8.56亿,130.04亿,--
82,300182,捷成股份,6.18,2.49,0.15,0.00,6.25,1.03,3.81,8.68亿,22.59亿,139.60亿,58.15
83,300805,电声股份,12.79,2.48,0.31,-0.08,3.35,0.80,3.37,1.23亿,2.88亿,36.88亿,121.22
84,300451,创业慧康,5.78,2.48,0.14,0.00,5.80,1.12,4.79,5.12亿,15.27亿,88.24亿,--
85,300459,汤姆猫,5.41,2.46,0.13,0.00,7.82,1.09,4.17,13.85亿,32.87亿,177.84亿,--
86,300183,东软载波,16.68,2.46,0.40,0.06,4.42,2.15,4.97,3.01亿,4.07亿,67.81亿,--
87,300065,海兰信,24.24,2.45,0.58,0.12,21.29,1.69,7.78,33.71亿,6.57亿,159.23亿,329.52
88,688608,恒玄科技,246.18,2.45,5.88,0.05,3.03,0.87,3.07,12.43亿,1.69亿,415.29亿,62.10
89,002527,新时达,18.06,2.44,0.43,0.28,6.75,0.73,2.84,6.37亿,5.29亿,95.59亿,2066.45
90,300229,拓尔思,24.56,2.42,0.58,0.12,7.91,0.95,4.80,16.88亿,8.73亿,214.42亿,--
91,300271,华宇软件,8.12,2.40,0.19,0.12,2.57,0.90,3.03,1.65亿,7.97亿,64.74亿,--
92,600633,浙数文化,15.40,2.39,0.36,0.00,4.37,1.03,4.46,8.56亿,12.68亿,195.28亿,27.39
93,002777,久远银海,21.05,2.38,0.49,0.19,4.93,0.89,3.11,4.17亿,4.05亿,85.15亿,150.62
94,000516,国际医学,5.21,2.36,0.12,0.00,4.17,0.97,1.97,4.77亿,22.05亿,114.87亿,--
95,000676,智度股份,9.71,2.32,0.22,0.10,4.43,0.87,3.27,5.40亿,12.59亿,122.25亿,76.91
96,300698,万马科技,46.20,2.30,1.04,0.13,4.96,0.94,3.85,2.70亿,1.19亿,54.77亿,142.06
97,300266,兴源环境,2.67,2.30,0.06,0.00,2.11,1.37,3.45,0.86亿,15.53亿,41.46亿,--
98,300925,法本信息,23.20,2.29,0.52,0.00,5.10,1.13,3.40,4.10亿,3.50亿,81.09亿,87.80
99,301087,可孚医疗,56.45,2.28,1.26,0.00,1.69,0.81,2.90,1.85亿,1.94亿,109.65亿,33.99
100,300688,创业黑马,31.65,2.26,0.70,-0.03,9.71,1.21,5.33,4.59亿,1.48亿,46.96亿,--
