序号,代码,名称,现价 ,涨跌幅(%) ,涨跌 ,涨速(%) ,换手(%) ,量比 ,振幅(%) ,成交额 ,流通股 ,流通市值 ,市盈率 
193,688322,奥比中光,104.35,0.97,1.00,0.16,3.30,0.93,6.34,11.07亿,3.19亿,332.54亿,290.64
194,601789,宁波建工,5.27,0.96,0.05,0.19,2.64,1.33,1.72,1.50亿,10.87亿,57.27亿,33.03
195,002558,巨人网络,49.81,0.95,0.47,0.12,2.09,0.94,4.76,20.03亿,19.35亿,963.70亿,51.01
196,600588,用友网络,15.89,0.95,0.15,0.19,3.38,0.72,2.86,18.34亿,34.17亿,542.96亿,--
197,300624,万兴科技,94.29,0.94,0.88,0.03,10.05,1.00,3.98,16.28亿,1.71亿,161.46亿,--
198,003010,若羽臣,37.87,0.93,0.35,0.00,3.47,1.17,5.38,2.95亿,2.26亿,85.64亿,84.32
199,688360,德马科技,22.28,0.91,0.20,0.05,2.00,0.66,1.81,1.12亿,2.52亿,56.21亿,40.14
200,300231,银信科技,11.24,0.90,0.10,0.18,1.93,0.81,1.17,0.96亿,4.44亿,49.94亿,71.09
201,603927,中科软,20.63,0.88,0.18,0.05,1.51,0.80,1.42,2.58亿,8.31亿,171.44亿,74.18
202,300607,拓斯达,33.45,0.88,0.29,0.06,5.26,0.84,2.35,5.82亿,3.32亿,111.07亿,242.54
203,603535,嘉诚国际,10.40,0.87,0.09,0.00,0.93,0.95,1.07,0.49亿,5.11亿,53.14亿,26.79
204,603068,博通集成,40.26,0.85,0.34,0.00,3.62,0.98,2.15,2.19亿,1.50亿,60.56亿,487.46
205,300738,奥飞数据,21.62,0.79,0.17,0.05,4.48,0.81,2.10,9.56亿,9.85亿,212.94亿,109.83
206,300245,天玑科技,13.13,0.77,0.10,0.08,2.58,0.92,2.00,1.03亿,3.04亿,39.96亿,--
207,600827,百联股份,9.26,0.76,0.07,0.00,0.76,0.79,1.09,1.13亿,16.04亿,148.57亿,41.99
208,002799,环球印务,9.45,0.75,0.07,0.11,5.89,1.00,3.73,1.78亿,3.20亿,30.24亿,--
209,920249,利尔达,14.97,0.74,0.11,0.00,9.30,1.02,4.24,1.74亿,1.25亿,18.66亿,271.95
210,600797,浙大网新,10.95,0.74,0.08,0.09,5.35,0.72,1.66,6.01亿,10.28亿,112.51亿,270.52
211,601828,美凯龙,2.76,0.73,0.02,0.36,0.77,0.95,1.09,0.76亿,36.13亿,99.73亿,--
212,601921,浙版传媒,8.28,0.73,0.06,-0.12,0.56,0.84,1.46,1.04亿,22.22亿,184.00亿,21.79
213,301390,经纬股份,38.05,0.71,0.27,0.00,2.44,0.76,2.33,0.28亿,0.31亿,11.67亿,109.15
214,603887,城地香江,14.34,0.70,0.10,0.00,1.96,0.89,1.69,1.67亿,5.95亿,85.36亿,2269.47
215,300941,创识科技,23.82,0.68,0.16,0.04,4.99,0.87,1.56,1.26亿,1.06亿,25.32亿,238.67
216,301208,中亦科技,41.00,0.66,0.27,-0.02,3.38,0.95,1.45,0.92亿,0.66亿,27.09亿,114.44
217,300052,ST中青宝,13.90,0.65,0.09,0.22,1.51,0.55,1.81,0.55亿,2.62亿,36.40亿,--
218,002530,金财互联,10.88,0.65,0.07,0.18,3.63,0.93,1.85,2.75亿,6.95亿,75.63亿,110.54
219,000938,紫光股份,26.56,0.64,0.17,0.11,2.22,0.60,1.36,16.82亿,28.60亿,759.64亿,40.58
220,300571,平治信息,30.30,0.63,0.19,0.00,3.93,0.74,1.86,1.37亿,1.16亿,35.04亿,426.64
221,603801,志邦家居,9.77,0.62,0.06,0.10,1.89,1.43,2.37,0.80亿,4.34亿,42.44亿,18.38
222,600050,中国联通,5.12,0.59,0.03,0.00,0.89,1.01,0.79,14.03亿,307.67亿,1575.26亿,13.69
223,603700,宁水集团,14.33,0.56,0.08,-0.69,1.42,0.79,1.97,0.41亿,2.00亿,28.65亿,28.51
224,688058,宝兰德,32.47,0.56,0.18,-0.03,1.93,0.65,2.97,0.48亿,0.76亿,24.62亿,--
225,002027,分众传媒,7.44,0.54,0.04,-0.13,1.29,1.16,2.03,13.94亿,144.42亿,1074.50亿,19.00
226,002104,恒宝股份,18.71,0.54,0.10,0.00,4.09,0.93,1.34,4.58亿,6.00亿,112.20亿,266.50
227,002261,拓维信息,33.75,0.54,0.18,0.09,3.70,0.70,1.43,14.28亿,11.46亿,386.66亿,304.15
228,600571,信雅达,16.92,0.54,0.09,0.00,2.95,0.81,1.37,2.28亿,4.58亿,77.45亿,263.30
229,688369,致远互联,30.22,0.53,0.16,0.07,5.41,0.77,6.59,1.91亿,1.15亿,34.82亿,--
230,002230,科大讯飞,58.75,0.53,0.31,0.12,3.17,0.62,2.04,40.83亿,21.89亿,1286.18亿,--
231,600405,动力源,5.68,0.53,0.03,0.00,2.33,0.93,1.24,0.81亿,6.10亿,34.65亿,--
232,000533,顺钠股份,9.55,0.53,0.05,0.00,9.84,0.87,3.47,6.47亿,6.85亿,65.41亿,61.45
233,000070,特发信息,11.72,0.52,0.06,0.09,4.57,1.04,1.80,4.73亿,8.89亿,104.15亿,989.74
234,688030,山石网科,19.74,0.51,0.10,0.00,1.71,0.88,1.43,0.61亿,1.80亿,35.58亿,--
235,000948,南天信息,17.87,0.51,0.09,0.06,1.93,0.92,1.24,1.34亿,3.89亿,69.54亿,--
236,300369,绿盟科技,8.13,0.49,0.04,0.00,4.72,0.96,3.96,3.07亿,8.08亿,65.69亿,--
237,002139,拓邦股份,14.41,0.49,0.07,0.07,2.86,0.93,1.25,4.40亿,10.71亿,154.33亿,32.05
238,600055,万东医疗,16.69,0.48,0.08,0.00,1.04,0.91,1.50,1.22亿,7.03亿,117.34亿,--
239,002442,龙星科技,6.49,0.46,0.03,0.00,1.61,0.85,1.08,0.51亿,4.93亿,31.97亿,40.16
240,300921,南凌科技,25.29,0.44,0.11,0.12,5.03,0.80,2.22,1.46亿,1.15亿,29.01亿,156.62
241,000756,新华制药,16.26,0.43,0.07,0.06,2.44,0.90,0.62,1.98亿,4.99亿,81.12亿,33.16
242,603232,格尔软件,23.69,0.42,0.10,0.08,6.01,0.79,3.77,3.29亿,2.31亿,54.80亿,--
243,002117,东港股份,12.06,0.42,0.05,0.00,1.75,0.75,0.75,1.11亿,5.24亿,63.14亿,38.48
244,002351,漫步者,12.72,0.40,0.05,0.08,2.95,1.58,1.34,1.95亿,5.21亿,66.28亿,28.29
245,688023,安恒信息,57.48,0.38,0.22,-0.05,3.33,0.74,2.27,1.95亿,1.02亿,58.67亿,--
246,688135,利扬芯片,37.10,0.38,0.14,0.19,13.88,1.41,8.25,10.77亿,2.03亿,75.48亿,7500.75
